id_term,value,vehicle_type,movement,id_gauging,date
24,0,0,3,1,2018-11-14
25,0,0,3,1,2018-11-14
26,0,0,3,1,2018-11-14
27,0,0,3,1,2018-11-14
28,0,0,3,1,2018-11-14
1,13,1,4,1,2018-11-14
2,13,1,4,1,2018-11-14
3,12,1,4,1,2018-11-14
4,11,1,4,1,2018-11-14
5,13,1,4,1,2018-11-14
6,14,1,4,1,2018-11-14
7,14,1,4,1,2018-11-14
8,13,1,4,1,2018-11-14
9,13,1,4,1,2018-11-14
10,13,1,4,1,2018-11-14
11,11,1,4,1,2018-11-14
12,12,1,4,1,2018-11-14
13,13,1,4,1,2018-11-14
14,10,1,4,1,2018-11-14
15,12,1,4,1,2018-11-14
16,12,1,4,1,2018-11-14
17,11,1,4,1,2018-11-14
18,11,1,4,1,2018-11-14
19,13,1,4,1,2018-11-14
20,12,1,4,1,2018-11-14
21,12,1,4,1,2018-11-14
22,12,1,4,1,2018-11-14
23,12,1,4,1,2018-11-14
24,11,1,4,1,2018-11-14
25,11,1,4,1,2018-11-14
26,12,1,4,1,2018-11-14
27,12,1,4,1,2018-11-14
28,12,1,4,1,2018-11-14
1,1,0,4,1,2018-11-14
2,1,0,4,1,2018-11-14
3,1,0,4,1,2018-11-14
4,1,0,4,1,2018-11-14
5,1,0,4,1,2018-11-14
6,1,0,4,1,2018-11-14
7,1,0,4,1,2018-11-14
8,0,0,4,1,2018-11-14
9,1,0,4,1,2018-11-14
10,1,0,4,1,2018-11-14
11,1,0,4,1,2018-11-14
12,1,0,4,1,2018-11-14
13,1,0,4,1,2018-11-14
14,1,0,4,1,2018-11-14
15,1,0,4,1,2018-11-14
16,1,0,4,1,2018-11-14
17,1,0,4,1,2018-11-14
18,1,0,4,1,2018-11-14
19,0,0,4,1,2018-11-14
20,1,0,4,1,2018-11-14
21,1,0,4,1,2018-11-14
22,1,0,4,1,2018-11-14
23,0,0,4,1,2018-11-14
24,1,0,4,1,2018-11-14
25,1,0,4,1,2018-11-14
26,0,0,4,1,2018-11-14
27,1,0,4,1,2018-11-14
28,1,0,4,1,2018-11-14
1,66,1,5,1,2018-11-14
2,65,1,5,1,2018-11-14
3,70,1,5,1,2018-11-14
4,63,1,5,1,2018-11-14
5,70,1,5,1,2018-11-14
6,70,1,5,1,2018-11-14
7,73,1,5,1,2018-11-14
8,72,1,5,1,2018-11-14
9,66,1,5,1,2018-11-14
10,76,1,5,1,2018-11-14
11,68,1,5,1,2018-11-14
12,74,1,5,1,2018-11-14
13,76,1,5,1,2018-11-14
14,80,1,5,1,2018-11-14
15,83,1,5,1,2018-11-14
16,82,1,5,1,2018-11-14
17,68,1,5,1,2018-11-14
18,81,1,5,1,2018-11-14
19,84,1,5,1,2018-11-14
20,77,1,5,1,2018-11-14
21,78,1,5,1,2018-11-14
22,80,1,5,1,2018-11-14
23,79,1,5,1,2018-11-14
24,69,1,5,1,2018-11-14
25,84,1,5,1,2018-11-14
26,78,1,5,1,2018-11-14
27,73,1,5,1,2018-11-14
28,83,1,5,1,2018-11-14
1,13,0,5,1,2018-11-14
2,13,0,5,1,2018-11-14
3,12,0,5,1,2018-11-14
4,13,0,5,1,2018-11-14
5,14,0,5,1,2018-11-14
6,14,0,5,1,2018-11-14
7,14,0,5,1,2018-11-14
8,14,0,5,1,2018-11-14
9,14,0,5,1,2018-11-14
10,13,0,5,1,2018-11-14
11,14,0,5,1,2018-11-14
12,14,0,5,1,2018-11-14
13,15,0,5,1,2018-11-14
14,14,0,5,1,2018-11-14
15,15,0,5,1,2018-11-14
16,13,0,5,1,2018-11-14
17,13,0,5,1,2018-11-14
18,13,0,5,1,2018-11-14
19,14,0,5,1,2018-11-14
20,13,0,5,1,2018-11-14
21,13,0,5,1,2018-11-14
22,12,0,5,1,2018-11-14
23,13,0,5,1,2018-11-14
24,13,0,5,1,2018-11-14
25,15,0,5,1,2018-11-14
26,13,0,5,1,2018-11-14
27,13,0,5,1,2018-11-14
28,14,0,5,1,2018-11-14
1,17,1,6,1,2018-11-14
2,14,1,6,1,2018-11-14
3,16,1,6,1,2018-11-14
4,17,1,6,1,2018-11-14
5,17,1,6,1,2018-11-14
6,14,1,6,1,2018-11-14
7,16,1,6,1,2018-11-14
8,15,1,6,1,2018-11-14
9,18,1,6,1,2018-11-14
10,14,1,6,1,2018-11-14
11,15,1,6,1,2018-11-14
12,13,1,6,1,2018-11-14
13,13,1,6,1,2018-11-14
14,14,1,6,1,2018-11-14
15,13,1,6,1,2018-11-14
16,14,1,6,1,2018-11-14
17,12,1,6,1,2018-11-14
18,15,1,6,1,2018-11-14
19,14,1,6,1,2018-11-14
20,13,1,6,1,2018-11-14
21,15,1,6,1,2018-11-14
22,16,1,6,1,2018-11-14
23,14,1,6,1,2018-11-14
24,15,1,6,1,2018-11-14
25,14,1,6,1,2018-11-14
26,16,1,6,1,2018-11-14
27,16,1,6,1,2018-11-14
28,14,1,6,1,2018-11-14
1,1,0,6,1,2018-11-14
2,1,0,6,1,2018-11-14
3,2,0,6,1,2018-11-14
4,1,0,6,1,2018-11-14
5,1,0,6,1,2018-11-14
6,1,0,6,1,2018-11-14
7,1,0,6,1,2018-11-14
8,2,0,6,1,2018-11-14
9,1,0,6,1,2018-11-14
10,2,0,6,1,2018-11-14
11,1,0,6,1,2018-11-14
12,1,0,6,1,2018-11-14
13,2,0,6,1,2018-11-14
14,1,0,6,1,2018-11-14
15,1,0,6,1,2018-11-14
16,1,0,6,1,2018-11-14
17,2,0,6,1,2018-11-14
18,2,0,6,1,2018-11-14
19,2,0,6,1,2018-11-14
20,1,0,6,1,2018-11-14
21,2,0,6,1,2018-11-14
22,1,0,6,1,2018-11-14
23,1,0,6,1,2018-11-14
24,2,0,6,1,2018-11-14
25,1,0,6,1,2018-11-14
26,1,0,6,1,2018-11-14
27,1,0,6,1,2018-11-14
28,2,0,6,1,2018-11-14
